id,type,text_kr,text_en,text_jp
42,1,숨이 넘어갈 정도로 웃는다,Laughs until breathless,息ができないほど笑う
43,1,이름을 잊어버린다,Forgets their name,名前を忘れる
44,1,죽어버린다,Dies,死んでしまう
45,1,발소리를 크게 낸다,Stomps loudly,足音を大きく立てる
46,2,우리집,Our home,我が家
47,2,골목,The alley,路地
48,2,누군가의,Someone's,誰かの
49,2,소각장,Incinerator,焼却場
50,2,4층,4F,4階
51,2,화장실,Restroom,トイレ
52,2,버스,Bus,バス
53,2,경비실,Guard Room,警備室
54,2,식당,Cafeteria,食堂
55,2,교장실,Principal's Office,校長室
56,2,미로,Maze,迷路
57,2,대피소,Shelter,避難所
58,2,출구,Exit,出口
59,2,████,████,████
60,2,뱃속,Stomach,腹の中
61,1,벽에 손톱 자국 내기,Clawing the wall,壁に爪痕を残すこと
62,1,그림자와 눈 마주치기,Meeting eyes with the shadow,影と目を合わせること
63,1,들킬 때까지 숨 참기,Holding breath until caught,見つかるまで息を止めること
64,1,자신의 이름 잊어버리기,Forgetting one's own name,自分の名前を忘れること
65,1,뒤돌아보기,Looking back,振り返ること
66,1,아무것도 하지 않기,Doing nothing,何もしないこと
67,1,비명 지르기,Screaming,悲鳴を上げること
68,1,그것의 허락 구하기,Asking it for permission,それの許しを乞うこと
69,1,친구였던 것과 대화하기,Talking with what used to be a friend,友達だったものと話すこと
70,1,교문 밖을 산책하기,Walking outside the school gate,校門の外を散歩すること
71,1,질문에 대답하기,Answering the question,質問に答えること
72,1,발소리 내기,Making footsteps,足音を立てること
73,1,모든 것들을 바라보기,Watching every thing,全てを見つめること
74,1,죽어버리기,Dying,死ぬこと
75,1,▒▒▒에게 기도하기,Praying to ▒▒▒,▒▒▒に祈ること
76,3,영원히 갇히게 된,The eternally trapped,永遠に閉じ込められた
77,3,잊혀진 학생,The forgotten student,忘れられた生徒
78,3,세 번째 실종자,The third missing,三人目の失踪者
79,3,이름 없는,The nameless,名もなき
80,3,돌아오지 못한,The one who never returned,帰れなかった
81,3,선생님의 착한 아이,Teacher's good child,先生のいい子
82,3,기억을 잃은,The memory-lost,記憶を失った
83,3,이미 대체된,The already replaced,既に取り替えられた
84,3,그림자에게 먹힌,Devoured by shadows,影に喰われた
85,3,반이었던 것,What used to be a class,クラスだったもの
86,3,관찰 대상 A-03,Subject A-03,観察対象 A-03
87,3,폐기 처분된,Disposed of,廃棄処分された
88,3,초대받지 않은,The uninvited,招かれざる
89,3,눈을 떠버린,The one who opened their eyes,目を開いてしまった
90,3,▒▒▒의 대체품,Replacement for ▒▒▒,▒▒▒の代替品
91,4,44:44,44:44,44:44
92,4,00:00,00:00,00:00
93,4,--:--,--:--,--:--
94,4,ERR!,ERR!,ERR!
95,4,59:59,59:59,59:59
96,4,LATE,LATE,LATE
97,4,영원,Forever,永遠
98,4,새벽,Dawn,夜明け
99,4,99:99,99:99,99:99
100,4,자정,Midnight,真夜中
101,4,▒▒:▒▒,▒▒:▒▒,▒▒:▒▒
102,4,오류,Error,エラー
103,4,포기,Give up,諦め
104,5,탈출 가능성 없음,No possibility of escape,脱出の可能性なし
105,5,정신 오염도: 광기,Mental Corruption: Insanity,精神汚染度: 狂気
106,5,생존 확률: 0.00%,Survival rate: 0.00%,生存確率: 0.00%
107,5,데이터 손상됨,Data corrupted,データ破損
108,5,연결 끊김,Connection lost,接続切断
109,5,구조 요청 성공,Rescue request successful,救助要請成功
110,5,남은 인원: 0명,Remaining: 0,残り人員: 0名
111,5,기억 동기화 오류,Memory sync error,記憶同期エラー
112,5,이제 안전합니다.,You are safe now.,もう安全です。
113,5,관측 불가,Observation impossible,観測不能
114,5,그들이 보고 있음,They are watching,奴らが見ている
115,5,삭제된 데이터입니다.,Data deleted.,削除されたデータです。
116,5,접근 권한 없음,Access denied,アクセス権限なし
117,5,희망 없음,No hope,希望なし
118,5,█▓▒░▒▓█,█▓▒░▒▓█,█▓▒░▒▓█
