"event_id","area_types","title_kr","title_en","title_jp","description_kr","description_en","description_jp","trigger_type","probability","timeout_seconds","default_choice_id","choice_id","sort_order","choice_text_kr","choice_text_en","choice_text_jp","result_text_kr","result_text_en","result_text_jp","choice_type","requirement_type","requirement_value","consume_item","mental_delta","stamina_delta","reward_item_id","reward_item_count","clue_reward_id","luck_success_rate","luck_failure_choice_id"
"188003","[42,41]","이상한 안내방송","Strange Announcement","奇妙な校内放送","방송이 끝났는데도 스피커에서 잡음이 흘러나옵니다.\n잡음 사이에 참기 어려운 기이한 소리가 섞여 있습니다.","The broadcast has ended, but static still leaks from the speaker.\nA strange unbearable sound is mixed into it.","放送は終わったのに、スピーカーから雑音が流れ続けています。\n耐えがたい奇妙な音が混じっています。","explore","30","8","18800301","18800302","3","막은 귀마개를 낀다","Wear the sealed earplugs","塞いだ耳栓をつける","먹먹한 압력이 귀를 막았습니다.\n소리는 아직 들리지만 더는 안쪽까지 들어오지 않습니다.","A muffled pressure blocked your ears.\nThe sound is still there, but it no longer reaches inside.","こもった圧力が耳を塞ぎました。\n音はまだ聞こえますが、奥までは入ってきません。","item","item","301000111","false","2","0","0","0","","0","0"
"188003","[42,41]","이상한 안내방송","Strange Announcement","奇妙な校内放送","방송이 끝났는데도 스피커에서 잡음이 흘러나옵니다.\n잡음 사이에 참기 어려운 기이한 소리가 섞여 있습니다.","The broadcast has ended, but static still leaks from the speaker.\nA strange unbearable sound is mixed into it.","放送は終わったのに、スピーカーから雑音が流れ続けています。\n耐えがたい奇妙な音が混じっています。","explore","30","8","18800301","18800303","4","방송 대응 세트로 녹음을 끊는다","Cut the recording with the broadcast response set","放送対応セットで録音を切る","테이프가 끊기며 소리가 한 번 뒤집혔습니다.\n잡음 속에 남아 있던 패턴을 기록했습니다.","The tape cut off and the sound flipped once.\nYou recorded the pattern left in the static.","テープが切れ、音が一度ひっくり返りました。\n雑音に残っていたパターンを記録しました。","item","item","401000005","false","0","0","0","0","broadcast_noise","0","0"
"188004","[31,32]","닫힌 캐비넷","Closed Cabinet","閉じたキャビネット","캐비넷 문이 안쪽에서 한 번 두드려집니다.\n손잡이는 없고 문틈에는 종이테이프 조각이 끼어 있습니다.","The cabinet door knocks once from the inside.\nThere is no handle, and a strip of paper tape is caught in the gap.","キャビネットの扉が内側から一度叩かれます。\n取っ手はなく、隙間に紙テープの切れ端が挟まっています。","explore","30","8","18800401","18800401","1","억지로 연다","Force it open","無理やり開ける","문은 조금 열렸지만 안쪽의 금속음이 손목을 울렸습니다.\n틈에서 운동화 끈 하나를 건졌습니다.","The door opened a little, but a metallic sound shook your wrist.\nYou pulled a shoelace from the gap.","扉は少し開きましたが、内側の金属音が手首に響きました。\n隙間から靴ひもを一本拾いました。","basic","none","","false","4","0","301000035","1","","0","0"
"188004","[31,32]","닫힌 캐비넷","Closed Cabinet","閉じたキャビネット","캐비넷 문이 안쪽에서 한 번 두드려집니다.\n손잡이는 없고 문틈에는 종이테이프 조각이 끼어 있습니다.","The cabinet door knocks once from the inside.\nThere is no handle, and a strip of paper tape is caught in the gap.","キャビネットの扉が内側から一度叩かれます。\n取っ手はなく、隙間に紙テープの切れ端が挟まっています。","explore","30","8","18800401","18800404","2","망설임 없이 정확한 지점을 연다","Open the exact point without hesitation","迷わず正確な場所を開ける","당신은 손이 먼저 움직이는 지점을 믿었습니다.\n문틈에서 종이테이프를 빼냈습니다.","You trusted the point your hand moved to first.\nYou pulled paper tape from the gap.","あなたは手が先に動いた場所を信じました。\n隙間から紙テープを抜き取りました。","trait","trait","trait_execution","false","1","0","301000026","1","","0","0"
"188004","[31,32]","닫힌 캐비넷","Closed Cabinet","閉じたキャビネット","캐비넷 문이 안쪽에서 한 번 두드려집니다.\n손잡이는 없고 문틈에는 종이테이프 조각이 끼어 있습니다.","The cabinet door knocks once from the inside.\nThere is no handle, and a strip of paper tape is caught in the gap.","キャビネットの扉が内側から一度叩かれます。\n取っ手はなく、隙間に紙テープの切れ端が挟まっています。","explore","30","8","18800401","18800402","3","임시 손잡이를 건다","Attach the temporary handle","仮の取っ手を掛ける","임시 손잡이가 문틈을 붙잡았습니다.\n문은 거칠게 열렸지만 손은 다치지 않았습니다.","The temporary handle caught the gap.\nThe door opened roughly, but your hand was not hurt.","仮の取っ手が扉の隙間をつかみました。\n扉は荒く開きましたが、手は傷つきませんでした。","item","item","301000121","false","1","0","301000025","1","","0","0"
"188004","[31,32]","닫힌 캐비넷","Closed Cabinet","閉じたキャビネット","캐비넷 문이 안쪽에서 한 번 두드려집니다.\n손잡이는 없고 문틈에는 종이테이프 조각이 끼어 있습니다.","The cabinet door knocks once from the inside.\nThere is no handle, and a strip of paper tape is caught in the gap.","キャビネットの扉が内側から一度叩かれます。\n取っ手はなく、隙間に紙テープの切れ端が挟まっています。","explore","30","8","18800401","18800403","4","캐비넷 해제 도구를 쓴다","Use the cabinet release tool","キャビネット解除道具を使う","걸쇠가 조용히 풀렸습니다.\n안쪽에는 누군가 서둘러 숨긴 흔적이 남아 있습니다.","The latch came loose quietly.\nInside, traces of something hidden in a hurry remain.","留め金が静かに外れました。\n内側には誰かが急いで隠した痕跡が残っています。","item","item","401000006","false","0","0","0","0","cabinet_lock","0","0"
"188005","[20]","수상한 처방전","Suspicious Prescription","怪しい処方箋","보건실 책상 위에 처방전 한 장이 놓여 있습니다.\n환자 이름 칸만 비어 있는데 종이는 아직 따뜻합니다.","A prescription lies on the nurse office desk.\nOnly the patient name field is blank, and the paper is still warm.","保健室の机に処方箋が一枚置かれています。\n患者名の欄だけが空白で、紙はまだ温かいです。","explore","30","8","18800501","18800501","1","처방전을 챙긴다","Take the prescription","処方箋を持っていく","처방전을 접어 넣자 손끝이 조금 저렸습니다.\n약장 안쪽에서 안정제 하나가 굴러 나왔습니다.","When you folded the prescription away, your fingertips tingled.\nA calming tablet rolled out from inside the cabinet.","処方箋を折りたたむと指先が少ししびれました。\n薬棚の奥から安定剤が一つ転がり出ました。","basic","none","","false","2","0","201000007","1","","0","0"
"188005","[20]","수상한 처방전","Suspicious Prescription","怪しい処方箋","보건실 책상 위에 처방전 한 장이 놓여 있습니다.\n환자 이름 칸만 비어 있는데 종이는 아직 따뜻합니다.","A prescription lies on the nurse office desk.\nOnly the patient name field is blank, and the paper is still warm.","保健室の机に処方箋が一枚置かれています。\n患者名の欄だけが空白で、紙はまだ温かいです。","explore","30","8","18800501","18800505","2","약장 뒤 비상구 동선부터 확인한다","Check the emergency route behind the cabinet first","薬棚の奥の非常経路を先に確認する","당신은 처방전보다 나갈 길을 먼저 보았습니다.\n필요하면 스태미나를 쓰지 않고 물러날 수 있습니다.","You looked for the way out before the prescription.\nIf needed, you can withdraw without spending stamina.","あなたは処方箋より先に出口を見ました。\n必要ならスタミナを使わずに下がれます。","trait","trait","trait_survival","false","0","0","0","0","infirmary_route","0","0"
"188005","[20]","수상한 처방전","Suspicious Prescription","怪しい処方箋","보건실 책상 위에 처방전 한 장이 놓여 있습니다.\n환자 이름 칸만 비어 있는데 종이는 아직 따뜻합니다.","A prescription lies on the nurse office desk.\nOnly the patient name field is blank, and the paper is still warm.","保健室の机に処方箋が一枚置かれています。\n患者名の欄だけが空白で、紙はまだ温かいです。","explore","30","8","18800501","18800502","3","진정 세트로 버틴다","Hold steady with the calming set","鎮静セットで耐える","진정 세트를 꺼내자 처방전의 글씨가 조금 흐려졌습니다.\n약장에는 아직 따뜻한 차가 남아 있습니다.","When you took out the calming set, the writing on the prescription blurred a little.\nWarm tea remains in the cabinet.","鎮静セットを取り出すと、処方箋の文字が少しぼやけました。\n薬棚にはまだ温かいお茶が残っています。","item","item","301000101","false","0","0","201000009","1","","0","0"
"188005","[20]","수상한 처방전","Suspicious Prescription","怪しい処方箋","보건실 책상 위에 처방전 한 장이 놓여 있습니다.\n환자 이름 칸만 비어 있는데 종이는 아직 따뜻합니다.","A prescription lies on the nurse office desk.\nOnly the patient name field is blank, and the paper is still warm.","保健室の机に処方箋が一枚置かれています。\n患者名の欄だけが空白で、紙はまだ温かいです。","explore","30","8","18800501","18800503","4","진정 파우치로 처치한다","Treat yourself with the calming pouch","鎮静ポーチで処置する","따뜻한 기운이 손끝에서 천천히 퍼졌습니다.\n처방전은 더 이상 당신을 부르지 않습니다.","Warmth slowly spread from your fingertips.\nThe prescription no longer calls to you.","温かさが指先からゆっくり広がりました。\n処方箋はもうあなたを呼びません。","item","item","401000004","true","-15","0","0","0","","0","0"
