case_group,node_id,pool_key,node_key,stage_index,stage_key,title_key,target_area_type,target_object_type,interact_id,action_group_key,storylet_type,route_type,claim_policy,reward_kind,risk_level,suspicion_tag,is_victory_storylet,required_all_tags,required_any_tags,blocked_tags,grant_tags,final_tags,success_text_key
record,4321,MARK_ATTENDANCE,POOL-MARK-ATTENDANCE,3,FOLLOW,pool/4321/title,30,2,701000054,object_2,route,info,unique,clue_tag,1,,false,stage_2|topic_mark,,stage_3,stage_3|evidence_attendance|place_classroom,,pool/4321/success
record,4322,MARK_CLEANING,POOL-MARK-CLEANING,3,FOLLOW,pool/4322/title,30,10,701000069,object_10,route,safe,unique,clue_tag,2,,false,stage_2|topic_mark,,stage_3,stage_3|evidence_cleaning|place_classroom,,pool/4322/success
record,4323,MARK_PRINTER,POOL-MARK-PRINTER,3,FOLLOW,pool/4323/title,10,6,701000082,object_6,route,risk_high_reward,unique,clue_tag,3,,false,stage_2|topic_mark,,stage_3,stage_3|evidence_printer|place_admin,,pool/4323/success
record,4331,OBJECT_CABINET,POOL-OBJECT-CABINET,3,FOLLOW,pool/4331/title,12,6,701000010,object_6,route,info,unique,clue_tag,1,,false,stage_2|topic_object,,stage_3,stage_3|evidence_cabinet|place_office,,pool/4331/success
record,4332,OBJECT_STORAGE,POOL-OBJECT-STORAGE,3,FOLLOW,pool/4332/title,14,6,701000063,object_6,route,safe,unique,clue_tag,2,,false,stage_2|topic_object,,stage_3,stage_3|evidence_storage|place_storage,,pool/4332/success
record,4333,OBJECT_BASKET,POOL-OBJECT-BASKET,3,FOLLOW,pool/4333/title,14,10,701000084,object_10,route,risk_high_reward,unique,clue_tag,3,,false,stage_2|topic_object,,stage_3,stage_3|evidence_basket|place_storage,,pool/4333/success
record,4341,ORDER_STAGE,POOL-ORDER-STAGE,3,FOLLOW,pool/4341/title,13,11,701000001,object_11,route,info,unique,clue_tag,1,,false,stage_2|topic_order,,stage_3,stage_3|evidence_rollcall|place_hall,,pool/4341/success
record,4342,ORDER_FIELD,POOL-ORDER-FIELD,3,FOLLOW,pool/4342/title,2,0,0,,route,safe,unique,clue_tag,2,,false,stage_2|topic_order,,stage_3,stage_3|evidence_field|place_field,,pool/4342/success
record,4343,ORDER_CLASSROOM,POOL-ORDER-CLASSROOM,3,FOLLOW,pool/4343/title,40,4,701000062,object_4,route,risk_high_reward,unique,clue_tag,3,,false,stage_2|topic_order,,stage_3,stage_3|evidence_board|place_classroom,,pool/4343/success
record,4351,CLEANING_CLOSET,POOL-CLEANING-CLOSET,3,FOLLOW,pool/4351/title,30,10,701000069,object_10,route,info,unique,clue_tag,1,,false,stage_2|topic_cleaning,,stage_3,stage_3|evidence_cleaning|place_classroom,,pool/4351/success
record,4352,CLEANING_TRASH,POOL-CLEANING-TRASH,3,FOLLOW,pool/4352/title,40,7,701000074,object_7,route,safe,unique,clue_tag,2,,false,stage_2|topic_cleaning,,stage_3,stage_3|evidence_trash|place_classroom,,pool/4352/success
record,4353,CLEANING_CART,POOL-CLEANING-CART,3,FOLLOW,pool/4353/title,22,5,701000073,object_5,route,risk_high_reward,unique,clue_tag,3,,false,stage_2|topic_cleaning,,stage_3,stage_3|evidence_cart|place_library,,pool/4353/success
record,4361,WINDOW_EXAM,POOL-WINDOW-EXAM,3,FOLLOW,pool/4361/title,32,4,701000083,object_4,route,info,unique,clue_tag,1,,false,stage_2|topic_window,,stage_3,stage_3|evidence_window|place_exam,,pool/4361/success
record,4362,WINDOW_DESK,POOL-WINDOW-DESK,3,FOLLOW,pool/4362/title,20,5,701000050,object_5,route,safe,unique,clue_tag,2,,false,stage_2|topic_window,,stage_3,stage_3|evidence_note|place_classroom,,pool/4362/success
record,4363,WINDOW_ADMIN,POOL-WINDOW-ADMIN,3,FOLLOW,pool/4363/title,10,6,701000082,object_6,route,risk_high_reward,unique,clue_tag,3,,false,stage_2|topic_window,,stage_3,stage_3|evidence_printer|place_admin,,pool/4363/success
record,4401,CONTRADICTION_NAME,POOL-CONTRADICTION-NAME,4,CONTRADICTION,pool/4401/title,12,7,701000011,object_7,route,info,unique,clue_tag,1,,false,stage_3,evidence_note|evidence_minutes|evidence_window|evidence_audio|evidence_stage|evidence_board|evidence_attendance|evidence_cleaning|evidence_printer|evidence_cabinet|evidence_storage|evidence_basket|evidence_rollcall|evidence_field|evidence_trash|evidence_cart,stage_4,stage_4|contradiction_name,,pool/4401/success
record,4402,CONTRADICTION_TIME,POOL-CONTRADICTION-TIME,4,CONTRADICTION,pool/4402/title,42,9,701000076,object_9,route,safe,unique,clue_tag,2,,false,stage_3,evidence_note|evidence_minutes|evidence_window|evidence_audio|evidence_stage|evidence_board|evidence_attendance|evidence_cleaning|evidence_printer|evidence_cabinet|evidence_storage|evidence_basket|evidence_rollcall|evidence_field|evidence_trash|evidence_cart,stage_4,stage_4|contradiction_time,,pool/4402/success
record,4403,CONTRADICTION_OBJECT,POOL-CONTRADICTION-OBJECT,4,CONTRADICTION,pool/4403/title,10,12,701000079,object_12,route,risk_high_reward,unique,clue_tag,3,,false,stage_3,evidence_note|evidence_minutes|evidence_window|evidence_audio|evidence_stage|evidence_board|evidence_attendance|evidence_cleaning|evidence_printer|evidence_cabinet|evidence_storage|evidence_basket|evidence_rollcall|evidence_field|evidence_trash|evidence_cart,stage_4,stage_4|contradiction_object,,pool/4403/success
record,4501,PROOF_ORDER,POOL-PROOF-ORDER,5,PROOF,pool/4501/title,2,0,0,,route,info,unique,clue_tag,1,,false,stage_4,contradiction_name|contradiction_time|contradiction_object,stage_5,stage_5|proof_order,,pool/4501/success
record,4502,PROOF_EXIT,POOL-PROOF-EXIT,5,PROOF,pool/4502/title,14,6,701000063,object_6,route,safe,unique,clue_tag,2,,false,stage_4,contradiction_name|contradiction_time|contradiction_object,stage_5,stage_5|proof_exit,,pool/4502/success
record,4503,PROOF_OWNER,POOL-PROOF-OWNER,5,PROOF,pool/4503/title,13,10,701000002,object_10,route,risk_high_reward,unique,clue_tag,3,,false,stage_4,contradiction_name|contradiction_time|contradiction_object,stage_5,stage_5|proof_owner,,pool/4503/success
record,4601,RESTORE_REPORT,POOL-RESTORE-REPORT,6,RESTORE,pool/4601/title,22,6,701000065,object_6,route,info,unique,clue_tag,1,,false,stage_5,proof_order|proof_exit|proof_owner,stage_6,stage_6|ending_report,,pool/4601/success
record,4602,RESTORE_RELATION,POOL-RESTORE-RELATION,6,RESTORE,pool/4602/title,30,2,701000054,object_2,route,safe,unique,clue_tag,2,,false,stage_5,proof_order|proof_exit|proof_owner,stage_6,stage_6|ending_relation,,pool/4602/success
record,4603,RESTORE_EXIT,POOL-RESTORE-EXIT,6,RESTORE,pool/4603/title,42,9,701000076,object_9,route,risk_high_reward,unique,clue_tag,3,,false,stage_5,proof_order|proof_exit|proof_owner,stage_6,stage_6|ending_exit,,pool/4603/success
record,4701,VICTORY_REPORT,POOL-VICTORY-REPORT,7,VICTORY,pool/4701/title,2,0,0,,victory,info,unique,mixed,1,final_report,true,stage_6|ending_report,,stage_7,stage_7|victory_ready,final_report,pool/4701/success
record,4702,VICTORY_RELATION,POOL-VICTORY-RELATION,7,VICTORY,pool/4702/title,2,0,0,,victory,safe,unique,mixed,2,final_report,true,stage_6|ending_relation,,stage_7,stage_7|victory_ready,final_report,pool/4702/success
record,4703,VICTORY_EXIT,POOL-VICTORY-EXIT,7,VICTORY,pool/4703/title,2,0,0,,victory,risk_high_reward,unique,mixed,3,final_report,true,stage_6|ending_exit,,stage_7,stage_7|victory_ready,final_report,pool/4703/success
