id,name_kr,name_en,name_jp,requirements,comment_kr,reusable
106000008,양털 어그부츠,Sheepskin Ugg Boots,シープスキンアグブーツ,[],때가 타지 않게 아껴신어요,1
106000009,빨강 구두,Red Shoes,赤い靴,[],더 좋은 곳으로 데려다 줄 거에요,1
106000010,글래디에이터 샌들,Gladiator Sandals,グラディエーターサンダル,[],페스티벌과 어울리는 화려함,1
106000011,스니커즈,Sneakers,スニーカー,[],한껏 가벼워진 발 끝,1
106000012,검정 스트랩 샌들,Black Strap Sandals,黒のストラップサンダル,[],발목까지 이어지는 디테일,1
106000013,하얀 스트랩 샌들,White Strap Sandals,白のストラップサンダル,[],발목까지 이어지는 디테일,1
107000001,손전등,Flashlight,懐中電灯,[],어두운 곳도 두렵지 않아요,1
107000002,우주의 노트,Cosmic Notebook,宇宙のノート,[],다양한 용도로 활용할 수 있는 패드,1
108000001,고양이 베개,Cat Pillow,猫のクッション,[],포근한 재질의 고양이 베개,1
109000001,극세사 담요,Microfiber Blanket,マイクロファイバー毛布,[],포근한 재질의 담요,1
201000001,바 브레이크,Bar Break,バーブレイク,[],달콤한 일상의 재충전,0
201000002,브윙칩,Bwing Chips,ブウィングチップ,[],햇감자와 매운 디핑소스의 조화,0
201000003,밤양갱,Chestnut Yokan,栗ようかん,[],우리는 너무 많이 생각하고는 해요,0
201000004,AA 건전지,AA Battery,単三電池,[],보편적으로 사용되는 규격의 건전지,0
201000005,구운 감자,Baked Potato,焼きじゃがいも,[],포슬포슬 따끈하게 익었어요,0
201000006,브윅스,Bwicks,ブウィクス,[],작지만 커다란 즐거움,0
202000001,초급 조리 교본,Basic Cooking Manual,初級調理教本,[],기초적인 요리 레시피 모음집,0
202000002,초급 야영 교본,Basic Camping Manual,初級野営教本,[],기초적인 야영 레시피 모음집,0
202000003,행동 수칙 쪽지,Code of Conduct Note,行動規則のメモ,[],내용을 반드시 숙지해야 해요,0
301000001,리갈 패드,Legal Pad,リーガルパッド,[],대중적으로 사용되는 필기 노트,0
301000002,보조 배터리,Power Bank,モバイルバッテリー,[],무엇이든 충전할 수 있어요,0
301000003,고장난 손전등,Broken Flashlight,壊れた懐中電灯,[],무슨 일인지 전원이 켜지지 않아요,0
301000005,방수천,Waterproof Cloth,防水布,[],습기를 차단하는 방수 소재의 천,0
301000006,밧줄,Rope,ロープ,[],물건을 고정하거나 묶을 수 있어요,0
301000007,폴대,Pole,ポール,[],구조물 설치에 필수적인 지지대,0
301000008,포스트잇,Post-it Notes,ポストイット,[],손쉽게 떼고 붙일 수 있어요,0
301000009,샤프,Mechanical Pencil,シャープペンシル,[],사각사각 기분 좋은 필기감,0
301000010,지우개,Eraser,消しゴム,[],사람은 누구나 실수하고는 해요,0
301000011,고장난 우주의 노트,Broken Cosmic Notebook,壊れた宇宙のノート,[],무슨 일인지 전원이 켜지지 않아요,0
301000012,책가방,Backpack,ランドセル,[],기본적인 책가방,0
301000013,감자 한 박스,Box of Potatoes,じゃがいも一箱,[],감자가 한아름 담긴 상자,0
301000014,필통,Pencil Case,筆箱,[],필기구가 들어있을까요?,0
301000015,밤 한 박스,Box of Chestnuts,栗一箱,[],밤이 한아름 담긴 상자,0
301000016,수수께끼의 택배,Mystery Parcel,謎の宅配,[],누군가의 앞으로 온 택배,0
301000017,검정 비닐 봉투,Black Plastic Bag,黒いビニール袋,[],무언가 한가득 담겨 있어요,0
301000018,포대 자루,Burlap Sack,麻袋,[],무언가 한가득 담겨 있어요,0
301000019,고장난 알람 시계,Broken Alarm Clock,壊れた目覚まし時計,[],한 때는 엄청난 소리를 냈어요,0
301000020,빈 포장지,Empty Wrapper,空の包装紙,[],내용물은 없지만 쓸 데는 많아요,0
301000021,공구함,Toolbox,工具箱,[],제작에 필요한 공구들이 가득,0
301000022,노란 꽃,Yellow Flower,黄色い花,[],틈새로 피어난 꽃,0
301000023,파란 꽃,Blue Flower,青い花,[],틈새로 피어난 꽃,0
301000024,하얀 비닐 봉투,White Plastic Bag,白いビニール袋,[],무언가 한가득 담겨 있어요,0
401000001,허름한 텐트,Worn Tent,くたびれたテント,[],허름하지만 아늑한 느낌이 들어요,1
401000002,허름한 좌판,Worn Stall,くたびれた露店,[],아껴쓰고 나눠쓰고 다시쓰고 바꿔써요,1
401000003,고양이 베개,Cat Pillow,猫のクッション,[],포근한 재질의 고양이 베개,1
501000001,체육 매트,Gym Mat,体育マット,[],충격을 흡수하고 편안함을 제공해줘요,1
601000001,LP판,LP Record,LPレコード,[],표면에 아무것도 적혀 있지 않아요,1
601000002,머리 없는 인형,Headless Doll,首のない人形,[],누군가가 아주 아끼던 인형,1
601000003,카세트 테이프,Cassette Tape,カセットテープ,[],소중한 추억을 간직해요,1
601000004,강당 열쇠,Auditorium Key,講堂の鍵,[],열지 못할 것은 없어요,1
601000005,교무실 열쇠,Staff Room Key,職員室の鍵,[],열지 못할 것은 없어요,1
601000006,학생증 - A,Student ID - A,学生証 - A,[],A의 낡은 학생증,1
601000007,3-1 교실 열쇠,Class 3-1 Key,3-1教室の鍵,[],열지 못할 것은 없어요,1
601000008,3-2 교실 열쇠,Class 3-2 Key,3-2教室の鍵,[],열지 못할 것은 없어요,1
601000009,분필,Chalk,チョーク,[],백색 분필 한 자루,1
700000101,손상된 마이크 헤드,Damaged Mic Head,破損したマイクヘッド,[],,1
800000102,변조된 회로 기판,Modified Circuit Board,改造された回路基板,[],,1
800000103,비상 호출 코드 메모,Emergency Call Code Memo,緊急呼出コードのメモ,[],,1
700000104,외부 안테나 케이블,External Antenna Cable,外部アンテナケーブル,[],,1
900000105,복원 마이크,Restored Mic,復元マイク,[],,1
900000106,비상 송출 케이블,Emergency Broadcast Cable,緊急送信ケーブル,[],,1
700000201,학생증 잔해,Student ID Fragments,学生証の残骸,[],,1
800000202,출입증 인쇄 양식,ID Print Template,通行証印刷フォーム,[],,1
700000203,전자 인증 칩,Electronic Auth Chip,電子認証チップ,[],,1
800000204,통제실 매뉴얼,Control Room Manual,管制室マニュアル,[],,1
900000205,위조 학생증,Forged Student ID,偽造学生証,[],,1
900000206,인증 모듈,Authentication Module,認証モジュール,[],,1
700000301,포스트잇 뭉치,Sticky Notes,付箋の束,[],찢겨진 노트 조각 회수하기,1
800000302,필기용 노트,Writing Notebook,筆記用ノート,[],또 다른 노트 조각 회수하기,1
800000303,보조 배터리,Power Bank,モバイルバッテリー,[],사라진 학생의 메모 찾기,1
700000304,방전된 기록 장치,Drained Recorder,電池切れの記録装置,[],마지막 방송 직후 멈춘 기록 장치,1
900000305,필담 페이지,Written Note Page,筆談ページ,[],과거와의 필담에 사용하는 기록 페이지,1
900000306,복원된 기록 장치,Restored Recorder,復元された記録装置,[],마지막 방송의 빈 시간을 되감을 수 있는 기록 장치,1
700000308,찢긴 출석부 페이지,Torn Attendance Page,破れた出席簿ページ,[],이름이 적힌 줄만 뜯겨 나간 출석부 페이지,1
800000309,검은 표시 종이,Black Mark Paper,黒い印の紙,[],책상 위 검은 표시를 종이에 옮겨 둔 것,1
800000310,보관함 열쇠,Cabinet Key,保管箱の鍵,[],번호가 긁혀 알아보기 어려운 열쇠,1
700000311,압수품 봉투,Confiscated Envelope,没収品封筒,[],돌려주지 못한 물건을 넣어 둔 봉투,1
700000312,조회 명단 조각,Roll Call Fragment,朝礼名簿の切れ端,[],한 줄이 찢겨 사라진 조회 명단 조각,1
800000313,흐린 이름표,Faded Nametag,かすれた名札,[],이름의 일부가 번져 읽기 어려운 이름표,1
900000315,복원한 출석부,Restored Attendance Book,復元した出席簿,[],찢긴 페이지와 검은 표시 종이를 맞춰 검은 표시의 위치를 복원한 출석부,1
900000316,압수품 보관 기록,Confiscated Log,没収品保管記録,[],돌려주지 못한 물건의 접수 순서를 보여주는 기록,1
900000317,조회 명단,Roll Call Sheet,朝礼名簿,[],빈칸이 남은 조회 명단,1
700000401,등산용 로프 다발,Climbing Rope Bundle,登山用ロープの束,[],,1
800000402,카라비너 세트,Carabiner Set,カラビナセット,[],,1
700000403,체육 일지,P.E. Log,体育日誌,[],,1
800000404,매트 보호대,Mat Padding,マット保護パッド,[],,1
900000405,등반 장비 세트,Climbing Gear Set,登攀装備セット,[],,1
900000406,외벽 강하용 보호장구,External Descent Harness,外壁降下用保護具,[],,1
700000501,시약 A (산성),Reagent A (Acidic),試薬A(酸性),[],,1
800000502,시약 B (촉매),Reagent B (Catalyst),試薬B(触媒),[],,1
700000503,실험 노트,Lab Notebook,実験ノート,[],,1
800000504,비상구 자물쇠 견본,Emergency Lock Sample,非常口錠の見本,[],,1
900000505,합성 시약 베이스,Synthesized Reagent Base,合成試薬ベース,[],,1
900000506,부식 시험 샘플,Corrosion Test Sample,腐食試験サンプル,[],,1
700000601,마스터 키 본,Master Key Mold,マスターキー型,[],,1
800000602,왁스 블록,Wax Block,ワックスブロック,[],,1
700000603,청소 일지,Cleaning Log,清掃日誌,[],,1
800000604,빈 키 블랭크,Key Blank,キーブランク,[],,1
900000605,키 본 패턴,Key Mold Pattern,キー型のパターン,[],,1
900000606,각인 전 키 블랭크,Unengraved Key Blank,刻印前のキーブランク,[],,1
700000701,학생회 결재선 양식,Student Council Approval Form,生徒会決裁フォーム,[],,1
800000702,인장 헤드,Seal Head,印章ヘッド,[],,1
700000703,인장 그립,Seal Grip,印章グリップ,[],,1
800000704,비상게이트 인증 코드,Emergency Gate Auth Code,非常ゲート認証コード,[],,1
900000705,결재 완료 양식,Approved Form,決裁完了フォーム,[],,1
900000706,인장 + 코드 패키지,Seal + Code Package,印章+コードパッケージ,[],,1
700000801,응급 처방 양식,Emergency Prescription Form,救急処方フォーム,[],,1
800000802,약물 식별 카드,Drug Identification Card,薬物識別カード,[],,1
700000803,보건실 통로 도면,Health Office Passage Map,保健室通路図,[],,1
800000804,응급 키트,Emergency Kit,救急キット,[],,1
900000805,작성된 처방전,Filled Prescription,記入済み処方箋,[],,1
900000806,통로 진입 도구,Passage Entry Tool,通路進入道具,[],,1
